	AUC	Accuracy	Precision	Recall	validation	outer_split	vector_size
11	0.5646038943718326	0.5646038943718326	0.5531536287089888	0.6715924246465724	train	1	125, 100, 75, 50, 25, 5
12	0.9154041077620699	0.9154041077620698	0.9076020774503946	0.9248599626567084	train	1	125, 100, 75, 50, 25, 5
13	0.896545745532142	0.896545745532142	0.8993550411183978	0.8930914910642838	train	1	125, 100, 75, 50, 25, 5
14	0.5728327554014403	0.5728327554014403	0.5595569160652514	0.6821552413977061	train	1	125, 100, 75, 50, 25, 5
15	0.9266471058949053	0.9266471058949053	0.9149492950663851	0.9408642304614564	train	1	125, 100, 75, 50, 25, 5
16	0.931141637770072	0.931141637770072	0.9291156827698817	0.9335022672712724	train	1	125, 100, 75, 50, 25, 5
17	0.5729261136303014	0.5729261136303014	0.559633737140116	0.6822085889570553	train	1	125, 100, 75, 50, 25, 5
18	0.9215790877567351	0.9215790877567351	0.9267033930917075	0.9153907708722326	train	1	125, 100, 75, 50, 25, 5
19	0.9033342224593225	0.9033342224593225	0.8966080026134176	0.9117631368364898	train	1	125, 100, 75, 50, 25, 5
20	0.5744731928514271	0.5744731928514271	0.5612776430397496	0.6792744731928515	train	1	125, 100, 75, 50, 25, 5
21	0.9123366230994931	0.9123366230994931	0.8932351083549378	0.9368364897305949	train	1	125, 100, 75, 50, 25, 5
22	0.8921979194451855	0.8921979194451855	0.8878207580043584	0.897706054947986	train	1	125, 100, 75, 50, 25, 5
23	0.5718591624433182	0.5718591624433182	0.5589126653868646	0.6790077353961057	train	1	125, 100, 75, 50, 25, 5
24	0.9447986129634569	0.9447986129634569	0.9434034514664162	0.9465190717524673	train	1	125, 100, 75, 50, 25, 5
25	0.937583355561483	0.937583355561483	0.935043622921204	0.9404907975460123	train	1	125, 100, 75, 50, 25, 5
26	0.5723793011469724	0.5723793011469724	0.5591660818575068	0.6816751133635637	train	1	125, 100, 75, 50, 25, 5
0	0.510267620061389	0.5463067060776854	0.2890972973245637	0.4286861383759675	test	0	50, 25, 50, 25, 50, 25
1	0.515777859468108	0.5359278093380289	0.29330832255158407	0.470164682385271	test	0	50, 25, 50, 25, 50, 25
2	0.503313986807994	0.45005993552277923	0.2812520839215815	0.6238635335763648	test	0	50, 25, 50, 25, 50, 25
3	0.511448635568726	0.5293088429093671	0.28936783821435497	0.4710184240848225	test	0	50, 25, 50, 25, 50, 25
4	0.5158643571587298	0.5380795318328357	0.29355321074110446	0.46557644831520273	test	0	50, 25, 50, 25, 50, 25
5	0.5072023428357113	0.48477042088883265	0.2849873466177402	0.5579787662111475	test	0	50, 25, 50, 25, 50, 25
6	0.5105767920820353	0.5389283081802682	0.2890760525969935	0.446397748171666	test	0	50, 25, 50, 25, 50, 25
7	0.5151461095583058	0.5335676154596422	0.2926142136960259	0.4734456165916631	test	0	50, 25, 50, 25, 50, 25
8	0.5071700104332449	0.4845470586921399	0.2849436508844555	0.5583788758852233	test	0	50, 25, 50, 25, 50, 25
9	0.5080202571675114	0.5348184437611215	0.2865769448398273	0.44735784314970367	test	0	50, 25, 50, 25, 50, 25
10	0.5164762664619923	0.5378189426033608	0.2941248310002809	0.46816368263996955	test	0	50, 25, 50, 25, 50, 25
11	0.5033273237971297	0.4500673809293356	0.2812611188265286	0.6238902075546365	test	0	50, 25, 50, 25, 50, 25
12	0.5080510201475753	0.5368659305641384	0.28663586396854607	0.4428232494040267	test	0	50, 25, 50, 25, 50, 25
13	0.5155428860519731	0.547631988444729	0.29401276144932686	0.4429032949334401	test	0	50, 25, 50, 25, 50, 25
14	0.507133053437065	0.48465873979048624	0.28492457471712485	0.5580054401894192	test	0	50, 25, 50, 25, 50, 25
15	0.5120309289270947	0.5296066591716241	0.2897659319877135	0.47224510599361474	test	0	50, 25, 50, 25, 50, 25
16	0.5135252972750521	0.5358384644593518	0.291378555592185	0.46301562124716233	test	0	50, 25, 50, 25, 50, 25
17	0.5071670468885752	0.4846959668232683	0.2849523165208249	0.5580321141676909	test	0	50, 25, 50, 25, 50, 25
18	0.5097549454458294	0.5297779035224218	0.2878264175679105	0.4644294528875897	test	0	50, 25, 50, 25, 50, 25
19	0.5175835274966537	0.5369403846297027	0.2948961985720647	0.4737657115118884	test	0	50, 25, 50, 25, 50, 25
20	0.5033273237971297	0.4500673809293356	0.2812611188265286	0.6238902075546365	test	0	50, 25, 50, 25, 50, 25
